Altium Designer Pick and Place Locations
C:\Git\Fairwaves\xtrx-hardware\Carrier Boards\USB3-PCIe\USB3-PCIEv21\Project Outputs\Pick Place\Pick Place for USB3-PCIEv21(Var_1).txt

========================================================================================================================
File Design Information:

Date:       26.07.18
Time:       14:52
Revision:   01d15f25feddbcfdf56136f3c54a70af0cb94595
Variant:    Var_1
Units used: mm

Designator Comment                          Layer       Footprint                 Center-X(mm) Center-Y(mm) Rotation Description                      
C1         10uF                             BottomLayer C0402-Phillips            -20.0000     11.7500      90       Capacitor                        
X7         0734120110                       TopLayer    U_FL                      -31.1750     -7.0000      180      "Connector (UMCC)"               
X3         0734120110                       TopLayer    U_FL                      -31.1750     7.0000       180      "Connector (UMCC)"               
C43        0.1uF                            BottomLayer C0402-Phillips            -17.0750     -13.2750     180      Capacitor                        
C36        0.1uF                            BottomLayer C0402-Phillips            -9.3750      -7.4500      360      Capacitor                        
C35        0.1uF                            BottomLayer C0402-Phillips            -9.3750      -4.9750      360      Capacitor                        
C29        0.1uF                            BottomLayer C0402-Phillips            -14.0000     1.0250       90       Capacitor                        
C27        0.1uF                            BottomLayer C0402-Phillips            -11.7500     -13.0750     270      Capacitor                        
C24        0.1uF                            BottomLayer C0402-Phillips            -16.5750     1.0250       90       Capacitor                        
C18        0.1uF                            BottomLayer C0402-Phillips            -23.4000     -8.6000      180      Capacitor                        
C16        0.1uF                            BottomLayer C0402-Phillips            0.5765       -0.8250      180      Capacitor                        
C14        0.1uF                            BottomLayer C0402-Phillips            -23.4751     -4.2499      180      Capacitor                        
R41        10k                              TopLayer    R0402-Phillips            8.6000       -15.4000     180      Resistor                         
R40        10k                              TopLayer    R0402-Phillips            -2.6750      -15.7250     180      Resistor                         
R39        10k                              TopLayer    R0402-Phillips            -10.0250     -15.3750     180      Resistor                         
L5         0.47uH                           BottomLayer L-VLS201610HBX            -12.7500     -15.1500     360      Coil                             
LED3       WHITE                            TopLayer    LED-0603YL                -5.0000      -15.7000     360      "LED WHITE"                      
LED2       WHITE                            TopLayer    LED-0603YL                0.0000       -15.7000     360      "LED WHITE"                      
R21        10k                              BottomLayer R0402-Phillips            -14.1750     2.9500       270      Resistor                         
R20        10k                              BottomLayer R0402-Phillips            -9.3750      -10.9250     0        Resistor                         
LED1       WHITE                            TopLayer    LED-0603YL                5.0000       -15.7000     360      "LED WHITE"                      
R19        10k                              BottomLayer R0402-Phillips            -9.3750      -11.8000     0        Resistor                         
X6         "Connector SIM card"             BottomLayer SIM_SF56S006V4BR2000-dig  -3.6500      8.0875       270      "Connector SIM card"             
U3         "USB3380-AB50NI G"               BottomLayer QFN-88(10x10/0.4mm)_pad   -16.4750     -6.0250      0        IC                               
X1         692622030100                     BottomLayer USB3.0-MICROB_SMT         0.3500       -13.0500     180      "Connector microUSB3.0-Type B"   
X5         "Connector PCIe MiniCard 1.55mm" TopLayer    PCIe_MiniCard_1.55mm_conn -22.5500     0.0000       270      "Connector PCIe MiniCard 1.55mm" 
C47        10uF                             BottomLayer C0402-Phillips            13.6750      -9.6750      90       Capacitor                        
L4         0.47uH                           BottomLayer L-VLS201610HBX            -3.3000      -1.5750      90       Coil                             
L3         0.47uH                           BottomLayer L-VLS201610HBX            12.2500      -12.7500     90       Coil                             
C46        0.01uF                           BottomLayer C0402-Phillips            -15.7750     -13.0750     90       Capacitor                        
C38        0.01uF                           BottomLayer C0402-Phillips            -9.3750      -9.2250      180      Capacitor                        
C32        1uF                              BottomLayer C0402-Phillips            -12.4000     1.0250       270      Capacitor                        
C21        0.1uF                            BottomLayer C0402-Phillips            -13.3750     -13.0750     270      Capacitor                        
C17        0.1uF                            BottomLayer C0402-Phillips            -23.4000     -2.6500      180      Capacitor                        
C40        10uF                             BottomLayer C0402-Phillips            -9.3750      -0.4710      180      Capacitor                        
C49        10uF                             BottomLayer C0402-Phillips            -12.5750     -13.0750     90       Capacitor                        
C44        1uF                              BottomLayer C0402-Phillips            -14.9750     -13.0750     90       Capacitor                        
C37        0.01uF                           BottomLayer C0402-Phillips            -9.3750      -8.3750      180      Capacitor                        
C50        10uF                             BottomLayer C0402-Phillips            -10.1250     -13.0750     90       Capacitor                        
C31        0.01uF                           BottomLayer C0402-Phillips            -9.3750      -4.1500      180      Capacitor                        
C26        1uF                              BottomLayer C0402-Phillips            -23.8250     -1.8500      360      Capacitor                        
